8.953065644601226e-6,7.933019975758833*^-19+0.*I,7.933019978647787*^-19+0.*I,7.93301996376135*^-19+0.*I,-3.9665099953226357*^-19-1.1388689054887411*^-28*I,-3.966509980436198*^-19+1.138867186192783*^-28*I,-3.9665099833251514*^-19-1.1388672751370235*^-28*I
9.064728167931024e-6,8.545483514516424*^-19+0.*I,8.545483517628417*^-19+0.*I,8.545483501592683*^-19+0.*I,-4.272741765276079*^-19-1.242095120069461*^-28*I,-4.2727417492403445*^-19+1.2420931980441265*^-28*I,-4.272741752352338*^-19-1.242093297445849*^-28*I
9.177783344862541e-6,9.20523189150403*^-19+0.*I,9.205231894856282*^-19+0.*I,9.205231877582518*^-19+0.*I,-4.602615954388896*^-19-1.3546776810999821*^-28*I,-4.602615937115134*^-19+1.3546755322311715*^-28*I,-4.602615940467385*^-19-1.3546756434534084*^-28*I
9.29224854455417e-6,9.915915700795179*^-19+0.*I,9.91591570440624*^-19+0.*I,9.915915685798867*^-19+0.*I,-4.957957859701275*^-19-1.477464640861176*^-28*I,-4.957957841093904*^-19+1.477462238232347*^-28*I,-4.957957844704964*^-19-1.4774623626047543*^-28*I
9.408141352792214e-6,1.0681467378091356*^-18+0.*I,1.0681467381981207*^-18+0.*I,1.0681467361937266*^-18+0.*I,-5.340733699067648*^-19-1.6113809180291579*^-28*I,-5.340733679023708*^-19+1.611378232008865*^-28*I,-5.340733682913558*^-19-1.6113783709711475*^-28*I
9.52547957469274e-6,1.1506122960110473*^-18+0.*I,1.1506122964300638*^-18+0.*I,1.1506122942709216*^-18+0.*I,-5.753061490850947*^-19-1.757435266162987*^-28*I,-5.753061469259527*^-19+1.7574322631074703*^-28*I,-5.753061473449691*^-19-1.7574324185893178*^-28*I
9.644281237436947e-6,1.2394445523892316*^-18+0.*I,1.239444552840598*^-18+0.*I,1.2394445505147608*^-18+0.*I,-6.197222773575344*^-19-1.9167278707399857*^-28*I,-6.197222750316972*^-19+1.9167245133509075*^-28*I,-6.197222754830635*^-19-1.9167246869793538*^-28*I
9.764564593040824e-6,1.3351350435720266*^-18+0.*I,1.3351350440582403*^-18+0.*I,1.3351350415528385*^-18+0.*I,-6.675675230387142*^-19-2.0904586373710127*^-28*I,-6.675675205333124*^-19+2.090454883725872*^-28*I,-6.67567521019526*^-19-2.0904550777448095*^-28*I
9.886348121159268e-6,1.4382132549367469*^-18+0.*I,1.4382132554604983*^-18+0.*I,1.4382132527616688*^-18+0.*I,-7.191066288177883*^-19-2.2799362304127584*^-28*I,-7.191066261189587*^-19+2.2799320337186817*^-28*I,-7.191066266427101*^-19-2.27993225089797*^-28*I
0.000010009650531925254,1.549249550416508*^-18+0.*I,1.5492495509806954*^-18+0.*I,1.5492495480735043*^-18+0.*I,-7.746247766618496*^-19-2.486587930701541*^-28*I,-7.746247737546585*^-19+2.486583238391475*^-28*I,-7.746247743188459*^-19-2.486583481259411*^-28*I
0.000010134490768824244,1.6688583285005453*^-18+0.*I,1.6688583291082905*^-18+0.*I,1.6688583259766517*^-18+0.*I,-8.34429165816092*^-19-2.7119703861183435*^-28*I,-8.344291626844533*^-19+2.711965140287031*^-28*I,-8.344291632921984*^-19-2.7119654117609433*^-28*I
0.000010260888011604638,1.797701421891467*^-18+0.*I,1.7977014225461328*^-18+0.*I,1.7977014191727178*^-18+0.*I,-8.988507126324409*^-19-2.9577813387932133*^-28*I,-8.988507092590261*^-19+2.9577754740919867*^-28*I,-8.988507099136917*^-19-2.957775777585416*^-28*I
0.000010388861679224394,1.9364917596304885*^-18+0.*I,1.9364917603356974*^-18+0.*I,1.9364917567018405*^-18+0.*I,-9.682458816321727*^-19-3.2258724124493325*^-28*I,-9.682458779983158*^-19+3.225865855604034*^-28*I,-9.682458787035245*^-19-3.225866194790022*^-28*I
0.00001051843143283454,2.0859973119545926*^-18+0.*I,2.0859973127142464*^-18+0.*I,2.08599730879984*^-18+0.*I,-1.0429986579344995*^-18-3.51826306085471*^-28*I,-1.042998654020093*^-18+3.518255730237267*^-28*I,-1.0429986547797469*^-18-3.518256109333333*^-28*I
0.000010649617178799668,2.2470453397132857*^-18+0.*I,2.2470453405315883*^-18+0.*I,2.2470453363149727*^-18+0.*I,-1.1235226719649507*^-18-3.837155779657184*^-28*I,-1.123522667748335*^-18+3.8371475838456423*^-28*I,-1.1235226685666375*^-18-3.8371480078609905*^-28*I
0.000010782439071756324,2.4205269718587853*^-18+0.*I,2.420526972740264*^-18+0.*I,2.420526968198108*^-18+0.*I,-1.2102634882004708*^-18-4.184952696571082*^-28*I,-1.2102634836583143*^-18+4.1849435335908425*^-28*I,-1.2102634845397934*^-18-4.184944007711797*^-28*I
0.000010916917517709407,2.607402136337886*^-18+0.*I,2.6074021372874188*^-18+0.*I,2.607402132394588*^-18+0.*I,-1.3037010706153582*^-18-4.564273666902862*^-28*I,-1.3037010657225276*^-18+4.564263422496147*^-28*I,-1.3037010666720606*^-18-4.564263952429908*^-28*I
0.000011053073177167326,2.8087048716699443*^-18+0.*I,2.8087048726927853*^-18+0.*I,2.808704867422207*^-18+0.*I,-1.4043524384702614*^-18-4.977976007981165*^-28*I,-1.4043524331996831*^-18+4.977964554661398*^-28*I,-1.4043524342225239*^-18-4.977965147675113*^-28*I
0.00001119092696831602,3.0255490486010857*^-18+0.*I,3.0255490497028945*^-18+0.*I,3.0255490440254048*^-18+0.*I,-1.512774527139288*^-18-5.4291760220169165*^-28*I,-1.512774521461798*^-18+5.429163217141759*^-28*I,-1.5127745225636067*^-18-5.429163879254318*^-28*I
0.000011330500070232812,3.2591345334949057*^-18+0.*I,3.259134534681779*^-18+0.*I,3.2591345285659622*^-18+0.*I,-1.629567269805361*^-18-5.921272469741839*^-28*I,-1.6295672636895445*^-18+5.9212581538115695*^-28*I,-1.6295672648764177*^-18-5.921258894282778*^-28*I
0.000011471813926140186,3.510753827563038*^-18+0.*I,3.510753828841543*^-18+0.*I,3.510753822253559*^-18+0.*I,-1.755376917075511*^-18-6.457972174879889*^-28*I,-1.755376910487527*^-18+6.4579561692429395*^-28*I,-1.7553769117660318*^-18-6.457956996442067*^-28*I
0.000011614890246700303,3.7817992186729485*^-18+0.*I,3.7817992200501594*^-18+0.*I,3.781799212953554*^-18+0.*I,-1.8908996128847768*^-18-7.043317943500614*^-28*I,-1.8908996057881717*^-18+7.043300048750157*^-28*I,-1.8908996071653827*^-18-7.043300974375057*^-28*I
0.00001175975101335036,4.0737704853053876*^-18+0.*I,4.073770486788925*^-18+0.*I,4.073770479144432*^-18+0.*I,-2.03688524647494*^-18-7.681719019295266*^-28*I,-2.036885238830447*^-18+7.681699012859616*^-28*I,-2.0368852403139847*^-18-7.681700047630908*^-28*I
0.00001190641848167979,4.388283195290642*^-18+0.*I,4.3882831968887155*^-18+0.*I,4.388283188654034*^-18+0.*I,-2.1941416017626615*^-18-8.377984296615522*^-28*I,-2.19414159352798*^-18+8.37796192858139*^-28*I,-2.1941415951260536*^-18-8.377963085865758*^-28*I
0.000012054915184849458,4.727077645242437*^-18+0.*I,4.727077646963889*^-18+0.*I,4.727077638093454*^-18+0.*I,-2.3635388270564356*^-18-9.137358544340826*^-28*I,-2.3635388181860014*^-18+9.1373335370028*^-28*I,-2.363538819907453*^-18-9.137334830766623*^-28*I
0.000012205263937053512,5.0920284901541934*^-18+0.*I,5.092028492008548*^-18+0.*I,5.0920284824532786*^-18+0.*I,-2.5460142498547315*^-18-9.965561912787507*^-28*I,-2.5460142402994616*^-18+9.96553395491858*^-28*I,-2.5460142421538166*^-18-9.965535401687348*^-28*I
0.000012357487837024512,5.485155116441463*^-18+0.*I,5.485155118438982*^-18+0.*I,5.485155108146003*^-18+0.*I,-2.7425775633672203*^-18-1.0868833027197675*^-27*I,-2.742577553074242*^-18+1.0868801768081227*^-27*I,-2.7425775550717612*^-18-1.0868803386269539*^-27*I
0.000012511610271582056,5.9086328158268165*^-18+0.*I,5.908632817978553*^-18+0.*I,5.908632806890913*^-18+0.*I,-2.9543164134572284*^-18-1.1853975968648368*^-27*I,-2.9543164023695885*^-18+1.1853941020967783*^-27*I,-2.9543164045213245*^-18-1.1853942829233376*^-27*I
0.00001266765491922586,6.3648048218967134*^-18+0.*I,6.364804824214573*^-18+0.*I,6.3648048122709186*^-18+0.*I,-3.1824024169201836*^-18-1.2928411541983287*^-27*I,-3.1824024049765298*^-18+1.2928372470753053*^-27*I,-3.182402407294389*^-18-1.2928374492849727*^-27*I
